id,name,nvar,ncon,nequ,status,objective,elapsed_time,iter,dual_feas,primal_feas,neval_obj,neval_grad,neval_cons,neval_jcon,neval_jgrad,neval_jac,neval_jprod,neval_jtprod,neval_hess,neval_hprod,neval_jhess,neval_jhprod,neval_residual,neval_jac_residual,neval_jprod_residual,neval_jtprod_residual,neval_hess_residual,neval_jhess_residual,neval_hprod_residual,extrainfo,real_time,internal_msg
87,BT5,3,2,0,first_order,961.7151716176805,0.003,6,5.305187578130699e-8,4.1878783818560805e-7,7,8,7,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,,0.003231048583984375,Solve_Succeeded
88,GROWTH,3,12,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.001132965087890625,Not_Enough_Degrees_Of_Freedom
89,POWELLBS,2,2,0,first_order,0.0,0.005,11,0.0,7.842820133330263e-7,12,13,12,0,0,13,0,0,11,0,0,0,0,0,0,0,0,0,0,,0.005294084548950195,Solve_Succeeded
90,HS61,3,2,0,first_order,-143.64615867535176,0.004,8,0.0002958123748912911,7.253841959098395e-6,9,10,9,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,,0.00394892692565918,Solve_Succeeded
91,PRICE3NE,2,2,0,first_order,0.0,0.003,6,0.0,1.1495573076558685e-5,7,8,7,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,,0.0034241676330566406,Solve_Succeeded
92,HS77,5,2,0,first_order,0.24150497019111017,0.005,10,2.262584382185101e-5,1.7963932374964742e-6,12,12,12,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,,0.005168914794921875,Solve_Succeeded
93,INTEQNE,12,12,0,first_order,0.0,0.001,2,0.0,1.6210093231605605e-7,3,4,3,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,,0.0017209053039550781,Solve_Succeeded
94,ENGVAL2NE,3,5,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011057853698730469,Not_Enough_Degrees_Of_Freedom
95,HYDCAR20,99,99,0,first_order,0.0,0.008,8,0.0,5.864636231854093e-7,10,10,11,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,,0.008287906646728516,Solve_Succeeded
96,HS39,4,2,0,first_order,-1.000000584621599,0.005,12,2.8412677609793e-6,2.985079988929451e-7,13,14,13,0,0,14,0,0,12,0,0,0,0,0,0,0,0,0,0,,0.005879878997802734,Solve_Succeeded
97,OSBORNE2,11,65,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011589527130126953,Not_Enough_Degrees_Of_Freedom
98,ARGAUSS,3,15,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011258125305175781,Not_Enough_Degrees_Of_Freedom
99,CHNRSNBMNE,50,98,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011758804321289062,Not_Enough_Degrees_Of_Freedom
100,MWRIGHT,5,3,0,first_order,24.978809535119574,0.002,9,7.747643710587227e-8,1.1363530116881293e-9,10,11,10,0,0,11,0,0,9,0,0,0,0,0,0,0,0,0,0,,0.004982948303222656,Solve_Succeeded
101,BEALENE,2,3,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.001127004623413086,Not_Enough_Degrees_Of_Freedom
102,BT4,3,2,0,first_order,-3.704772993791938,0.004,8,0.00010254409972121348,6.733208285147896e-5,9,10,11,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,,0.004667043685913086,Solve_Succeeded
103,TRIGON2NE,10,31,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011680126190185547,Not_Enough_Degrees_Of_Freedom
104,BT2,3,1,0,first_order,0.03256821116498072,0.005,11,1.8958218404030447e-6,1.0041156697226938e-6,12,13,12,0,0,13,0,0,11,0,0,0,0,0,0,0,0,0,0,,0.0053060054779052734,Solve_Succeeded
105,YFITNE,3,17,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011229515075683594,Not_Enough_Degrees_Of_Freedom
106,DENSCHNCNE,2,2,0,first_order,0.0,0.003,6,0.0,1.837772851898123e-6,8,8,8,0,0,8,0,0,6,0,0,0,0,0,0,0,0,0,0,,0.0033011436462402344,Solve_Succeeded
107,HATFLDENE,3,21,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.001110076904296875,Not_Enough_Degrees_Of_Freedom
108,WAYSEA2NE,2,2,0,first_order,0.0,0.005,10,0.0,7.940723818933293e-6,19,12,19,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,,0.005187034606933594,Solve_Succeeded
109,HS46,5,2,0,first_order,4.565490265559839e-8,0.004,8,3.383496162088416e-5,4.222563657979572e-6,9,10,9,0,0,10,0,0,8,0,0,0,0,0,0,0,0,0,0,,0.004111051559448242,Solve_Succeeded
110,POWELLSE,4,4,0,first_order,0.0,0.005,10,0.0,3.814697265624999e-5,11,12,11,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,,0.0049479007720947266,Solve_Succeeded
111,HS49,5,2,0,first_order,2.3152058070570635e-5,0.004,10,0.001335064333016723,4.440892098500626e-16,11,12,11,0,0,12,0,0,10,0,0,0,0,0,0,0,0,0,0,,0.004912853240966797,Solve_Succeeded
112,ROSZMAN1,4,25,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011219978332519531,Not_Enough_Degrees_Of_Freedom
113,MEYER3NE,3,16,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011169910430908203,Not_Enough_Degrees_Of_Freedom
114,MISRA1D,2,14,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.001110076904296875,Not_Enough_Degrees_Of_Freedom
115,LANCZOS2,6,24,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.0011239051818847656,Not_Enough_Degrees_Of_Freedom
116,HS78,5,3,0,first_order,-2.919709213908243,0.002,3,1.0151657826806826e-5,6.944518990970039e-6,4,5,4,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,,0.002028226852416992,Solve_Succeeded
117,BOOTH,2,2,0,first_order,0.0,0.001,1,0.0,0.0,2,3,2,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,,0.0011608600616455078,Solve_Succeeded
118,OSBORNE1,5,33,0,unknown,0.0,0.0,-1,Inf,Inf,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.001168966293334961,Not_Enough_Degrees_Of_Freedom
119,BA-L1,57,12,0,first_order,0.0,0.004,5,1.5938357102998582e-11,3.091893177042948e-7,6,7,6,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0,0,,0.004289150238037109,Solve_Succeeded
